edad,ingresos_anuales,antiguedad_laboral,loan_grade,monto_solicitado,tasa_interes,porcentaje_ingreso_credito,anios_historial_crediticio,tipo_vivienda_HIPOTECA,tipo_vivienda_OTRO,tipo_vivienda_PROPIO,motivo_credito_EDUCACION,motivo_credito_EMPRENDIMIENTO,motivo_credito_MEDICO,motivo_credito_MEJORA_HOGAR,motivo_credito_PERSONAL,historial_morosidad_SI
27,56000,1.0,C,2500,11.72,0.04,5,0,0,0,0,0,0,0,0,0
25,96050,9.0,D,6500,14.61,0.06,2,0,0,0,0,0,1,0,0,0
26,25200,2.0,C,1500,13.49,0.06,2,0,0,0,0,0,1,0,0,1
24,25000,0.0,B,8500,12.21,0.34,2,0,0,0,0,0,0,1,0,0
29,78000,0.0,B,9600,10.99,0.12,5,1,0,0,0,0,0,0,1,0
24,74900,5.0,B,18300,10.99,0.24,2,1,0,0,0,1,0,0,0,0
34,48000,9.0,C,5600,15.96,0.12,7,1,0,0,0,1,0,0,0,1
29,48000,3.0,B,9000,11.99,0.19,5,1,0,0,1,0,0,0,0,0
34,36000,1.0,C,4000,13.61,0.11,7,0,0,0,0,0,1,0,0,1
42,120000,0.0,B,9250,11.86,0.08,13,1,0,0,1,0,0,0,0,0
26,83000,2.0,B,25000,10.99,0.3,3,1,0,0,0,0,1,0,0,0
23,78000,3.0,B,20000,11.58,0.26,3,0,0,0,0,1,0,0,0,0
40,110000,0.0,B,20000,10.38,0.18,16,0,0,0,1,0,0,0,0,0
24,45000,8.0,C,8000,12.73,0.18,4,0,0,0,0,0,1,0,0,1
22,40000,1.0,B,4000,12.69,0.1,4,0,0,0,0,0,0,0,1,0
24,85000,8.0,B,20000,11.11,0.24,4,1,0,0,1,0,0,0,0,0
22,37500,0.0,B,9000,9.63,0.24,4,0,0,0,0,0,1,0,0,0
32,41000,17.0,C,3000,10.99,0.07,7,0,0,0,0,0,1,0,0,1
25,74000,1.0,A,16000,8.49,0.22,3,0,0,1,0,1,0,0,0,0
29,280000,6.0,C,15000,12.99,0.05,7,1,0,0,0,1,0,0,0,0
25,154000,1.0,B,21600,10.37,0.14,3,1,0,0,1,0,0,0,0,0
24,100800,8.0,B,10800,10.75,0.11,4,1,0,0,0,0,1,0,0,0
28,68000,2.0,B,14800,9.99,0.22,9,0,0,0,1,0,0,0,0,0
21,32900,2.0,B,3000,9.99,0.09,2,1,0,0,0,0,1,0,0,0
24,19200,1.0,C,4000,14.35,0.21,4,0,0,0,0,0,1,0,0,1
21,18000,3.0,D,4900,14.54,0.27,4,0,0,1,0,0,0,1,0,1
37,70000,3.0,D,15000,15.2,0.21,15,1,0,0,1,0,0,0,0,0
26,45000,6.0,C,6000,14.27,0.13,4,1,0,0,0,0,1,0,0,1
24,52000,7.0,C,5000,14.22,0.1,2,1,0,0,0,0,1,0,0,0
37,30000,13.0,D,4800,16.29,0.16,11,0,0,1,1,0,0,0,0,0
22,60000,6.0,D,5000,14.61,0.08,3,1,0,0,1,0,0,0,0,1
30,105000,8.0,A,26000,7.51,0.25,10,1,0,0,0,0,0,0,0,0
29,67992,0.0,A,2000,7.43,0.03,7,1,0,0,0,1,0,0,0,0
27,58800,6.0,B,2800,12.69,0.05,10,0,0,0,0,0,0,1,0,0
23,62844,7.0,C,7500,11.97,0.12,4,0,0,0,0,0,0,1,0,0
40,62000,17.0,A,2600,7.66,0.04,14,1,0,0,0,0,0,0,0,0
29,61000,2.0,D,15000,14.96,0.25,10,0,0,0,0,1,0,0,0,0
23,61000,2.0,D,8400,14.84,0.14,2,0,0,0,0,0,0,0,1,0
22,50000,1.0,B,16800,12.53,0.34,3,0,0,0,0,0,1,0,0,0
23,54000,1.0,B,20000,11.83,0.37,2,0,0,0,0,1,0,0,0,0
23,9600,3.0,B,2100,10.62,0.22,3,0,0,0,0,0,0,0,0,0
28,300000,1.0,C,9600,15.23,0.03,10,1,0,0,0,0,0,0,1,1
31,20000,1.0,A,5000,8.59,0.25,8,0,0,1,0,0,0,1,0,0
22,51996,3.0,C,14500,13.16,0.28,2,0,0,0,0,0,0,1,0,1
23,86000,6.0,B,13000,10.62,0.15,3,0,0,0,1,0,0,0,0,0
41,91000,13.0,B,2400,10.74,0.03,16,1,0,0,0,1,0,0,0,0
29,89004,2.0,D,4800,14.11,0.05,8,1,0,0,1,0,0,0,0,1
26,111000,10.0,A,5000,5.79,0.05,3,1,0,0,0,0,1,0,0,0
23,38000,0.0,A,7500,7.88,0.2,3,0,0,0,1,0,0,0,0,0
22,44664,5.0,C,1200,12.68,0.03,3,0,0,0,0,0,1,0,0,1
22,40000,2.0,B,6200,12.69,0.15,3,0,0,0,1,0,0,0,0,0
21,35000,6.0,B,15000,10.99,0.43,4,1,0,0,0,0,0,0,0,0
25,30000,9.0,C,5600,10.99,0.19,4,0,0,0,0,0,0,1,0,1
34,72000,6.0,B,5000,10.59,0.07,9,0,0,0,0,0,1,0,0,0
32,48000,1.0,D,8000,14.42,0.17,8,0,0,0,0,0,0,1,0,1
24,37500,2.0,A,5600,8.94,0.15,4,1,0,0,0,0,0,0,0,0
22,72000,6.0,C,12000,12.99,0.17,3,0,0,0,0,0,1,0,0,1
28,59000,1.0,A,12000,9.63,0.2,10,1,0,0,0,0,0,0,0,0
24,72000,5.0,B,8000,12.21,0.11,4,1,0,0,0,0,0,0,0,0
25,100000,9.0,A,6000,8.9,0.06,3,1,0,0,0,0,0,0,1,0
34,103000,5.0,B,16000,10.62,0.16,7,1,0,0,0,1,0,0,0,0
22,24605,3.0,C,10000,10.99,0.41,4,0,0,1,1,0,0,0,0,0
25,74500,3.0,B,6000,9.99,0.08,4,0,0,0,0,0,1,0,0,0
23,48000,4.0,C,1600,13.98,0.03,3,0,0,0,1,0,0,0,0,0
32,43625,2.0,B,1500,10.99,0.03,6,0,0,0,1,0,0,0,0,0
31,70000,16.0,A,14000,7.88,0.2,10,1,0,0,0,1,0,0,0,0
38,89000,11.0,B,10000,10.99,0.11,13,1,0,0,1,0,0,0,0,0
31,36996,5.0,A,8000,7.49,0.22,6,0,0,0,0,0,0,0,1,0
24,89000,8.0,C,25000,13.11,0.28,3,1,0,0,0,0,1,0,0,1
23,72000,6.0,C,12000,13.61,0.17,2,1,0,0,0,1,0,0,0,1
28,37500,4.0,C,12000,10.99,0.32,9,0,0,0,0,0,0,0,0,0
25,64000,0.0,E,20000,10.99,0.31,4,0,0,0,0,0,0,0,0,1
22,130000,6.0,C,3000,13.49,0.02,2,1,0,0,0,0,0,0,1,0
38,37500,0.0,C,12000,13.47,0.32,16,0,1,0,1,0,0,0,0,1
32,132000,2.0,A,18000,10.99,0.14,5,1,0,0,0,1,0,0,0,0
25,90000,6.0,A,6000,7.74,0.07,4,1,0,0,0,0,0,0,1,0
22,41000,0.0,A,1000,6.99,0.02,2,0,0,1,0,0,0,0,1,0
45,30000,5.0,C,1000,15.23,0.03,11,1,0,0,0,0,1,0,0,1
23,40000,1.0,B,1200,10.83,0.03,2,1,0,0,0,1,0,0,0,0
23,38500,2.0,A,3000,10.99,0.08,2,1,0,0,0,0,0,0,0,0
23,39000,3.0,D,8000,16.49,0.21,3,0,0,0,0,0,0,0,0,0
26,60000,9.0,B,10000,12.21,0.17,4,1,0,0,0,0,0,0,1,0
30,110000,14.0,C,12000,13.57,0.11,10,0,0,1,0,0,0,0,1,1
26,33000,1.0,B,3500,10.25,0.11,2,0,0,0,0,1,0,0,0,0
26,51600,10.0,B,5500,11.99,0.11,3,0,0,0,0,0,0,1,0,0
30,65000,11.0,B,9600,12.42,0.15,10,0,0,0,0,0,0,0,1,0
27,38000,0.0,B,10000,9.76,0.26,5,0,0,0,0,1,0,0,0,0
40,117000,4.0,B,10625,11.14,0.09,13,0,0,0,0,0,0,1,0,0
32,60000,6.0,C,6000,13.98,0.1,5,0,0,0,0,0,1,0,0,0
34,60500,3.0,D,11200,15.62,0.19,10,0,0,0,0,0,0,0,0,1
23,60000,1.0,A,5600,7.29,0.09,2,0,0,0,0,0,0,0,1,0
25,75000,0.0,B,20000,10.38,0.27,2,0,0,0,0,0,0,0,0,0
28,44000,9.0,C,1000,14.17,0.02,9,0,0,0,0,1,0,0,0,0
26,75000,0.0,A,7000,8.9,0.09,4,0,0,0,0,0,0,0,0,0
23,215000,7.0,C,35000,14.79,0.16,3,1,0,0,0,0,1,0,0,1
26,35652,5.0,B,1400,11.49,0.04,4,0,0,0,0,0,0,0,0,0
36,44000,4.0,C,16000,14.65,0.36,11,0,0,0,0,0,0,0,0,0
51,260000,1.0,A,14000,7.66,0.05,26,1,0,0,0,0,0,0,1,0
25,100000,3.0,B,12000,9.91,0.12,2,0,0,0,1,0,0,0,0,0
29,52000,9.0,A,10000,8.0,0.19,8,0,0,0,0,0,0,0,1,0
25,39996,2.0,A,12000,8.94,0.3,3,0,0,1,0,1,0,0,0,0
24,195000,4.0,A,5000,8.9,0.03,3,1,0,0,0,0,1,0,0,0
29,125000,6.0,C,6400,12.87,0.05,9,1,0,0,0,0,0,1,0,1
25,33000,9.0,A,3200,5.42,0.1,4,0,0,0,0,0,1,0,0,0
27,46800,5.0,B,6000,9.99,0.13,6,1,0,0,1,0,0,0,0,0
27,225000,1.0,B,14000,10.99,0.06,7,1,0,0,0,1,0,0,0,0
35,26400,19.0,A,6600,5.99,0.25,8,0,0,1,0,1,0,0,0,0
38,85900,6.0,B,10000,12.53,0.12,13,0,0,0,0,0,0,0,0,0
24,36000,5.0,C,4000,15.23,0.11,3,1,0,0,0,0,1,0,0,1
23,56000,7.0,F,13750,18.43,0.25,2,1,0,0,0,0,0,0,1,0
26,96000,10.0,E,24000,19.42,0.25,4,1,0,0,0,0,0,1,0,0
24,120000,8.0,B,16000,12.18,0.13,4,0,0,0,0,1,0,0,0,0
42,72000,20.0,A,8400,6.62,0.12,11,1,0,0,0,0,0,1,0,0
23,75000,7.0,B,7100,9.25,0.09,2,1,0,0,1,0,0,0,0,0
33,44000,2.0,C,7000,12.99,0.16,8,1,0,0,1,0,0,0,0,1
24,95000,1.0,B,7450,12.69,0.08,4,1,0,0,0,0,0,0,1,0
25,42000,6.0,B,6850,10.99,0.16,4,0,0,0,0,1,0,0,0,0
25,51000,6.0,E,16750,16.4,0.33,4,1,0,0,0,0,0,0,1,0
31,64900,2.0,A,10000,7.66,0.15,9,0,0,0,0,1,0,0,0,0
26,85000,10.0,A,4650,8.49,0.05,2,1,0,0,1,0,0,0,0,0
23,14400,2.0,E,4000,16.7,0.28,2,0,0,1,0,0,0,1,0,0
27,27000,6.0,D,10000,15.62,0.37,6,0,0,0,0,0,0,0,0,0
23,85000,7.0,D,14000,16.29,0.16,4,0,0,1,0,0,0,0,1,1
35,58000,0.0,C,12000,12.99,0.21,8,0,0,0,0,0,1,0,0,1
23,45000,2.0,B,10000,11.11,0.22,3,1,0,0,1,0,0,0,0,0
24,62500,5.0,A,11500,5.79,0.18,3,0,0,0,1,0,0,0,0,0
23,72000,3.0,A,10800,7.88,0.15,2,0,0,0,0,0,1,0,0,0
22,36000,6.0,B,6000,10.0,0.17,3,0,0,0,1,0,0,0,0,0
22,70028,7.0,B,2000,10.99,0.03,3,0,0,0,0,1,0,0,0,0
31,60000,3.0,A,7500,5.79,0.13,9,0,0,0,0,0,0,0,0,0
23,26000,0.0,E,10000,10.99,0.38,3,1,0,0,0,0,0,1,0,1
22,64000,6.0,D,15000,17.49,0.23,4,0,0,1,1,0,0,0,0,1
28,60000,4.0,B,4800,10.99,0.08,9,1,0,0,0,0,0,1,0,0
22,94692,5.0,B,20000,11.49,0.21,4,1,0,0,1,0,0,0,0,0
25,12000,0.0,C,3000,10.99,0.25,3,0,0,1,0,0,1,0,0,0
33,36500,1.0,B,10000,9.33,0.27,6,1,0,0,0,1,0,0,0,0
31,40000,5.0,A,14000,6.03,0.35,10,1,0,0,0,0,0,0,1,0
24,50000,2.0,A,7000,5.42,0.14,4,1,0,0,0,0,0,0,1,0
24,37000,3.0,E,5000,16.45,0.14,3,0,0,0,0,0,1,0,0,0
32,31000,4.0,A,12000,5.42,0.39,6,1,0,0,0,1,0,0,0,0
48,185000,2.0,F,10000,20.62,0.05,14,1,0,0,0,1,0,0,0,0
27,36789,1.0,C,5500,13.57,0.15,8,1,0,0,0,0,0,0,0,1
28,200000,7.0,A,10000,6.99,0.05,7,1,0,0,0,0,0,0,1,0
24,76000,8.0,B,13500,9.99,0.18,3,1,0,0,0,0,0,0,0,0
21,45600,5.0,A,6000,6.03,0.13,4,1,0,0,0,0,1,0,0,0
38,40000,19.0,B,12000,10.59,0.3,11,0,0,0,0,1,0,0,0,0
22,64000,0.0,D,8000,14.84,0.13,2,0,0,0,0,0,0,0,1,0
31,250000,14.0,D,12000,14.09,0.05,6,1,0,0,0,0,0,0,1,1
26,75000,9.0,C,4000,12.99,0.05,2,1,0,0,0,0,1,0,0,1
33,53796,1.0,B,10500,11.14,0.2,6,0,0,0,0,0,0,0,0,0
26,65000,4.0,B,5000,11.89,0.08,4,1,0,0,1,0,0,0,0,0
23,70000,0.0,B,3600,10.59,0.05,4,0,0,1,1,0,0,0,0,0
30,200000,14.0,C,21600,13.11,0.11,8,1,0,0,0,0,0,0,0,0
28,85000,7.0,B,11200,9.91,0.13,10,0,0,0,0,0,0,0,0,0
23,44000,2.0,C,6000,14.22,0.14,4,0,0,0,0,0,1,0,0,1
24,75000,8.0,B,10000,9.91,0.13,3,0,0,0,0,0,0,0,1,0
22,38000,2.0,C,1500,13.22,0.04,2,0,0,0,1,0,0,0,0,1
24,71480,8.0,F,17600,10.99,0.25,4,0,0,0,0,0,0,1,0,0
49,74880,6.0,A,14300,7.51,0.19,16,0,0,0,0,0,1,0,0,0
22,66000,0.0,C,3300,14.65,0.05,2,0,0,0,0,1,0,0,0,1
22,70000,5.0,A,10000,6.03,0.14,3,0,0,0,0,0,0,0,1,0
34,126000,2.0,B,9600,11.49,0.08,10,1,0,0,0,0,0,1,0,0
23,65000,0.0,B,10000,11.49,0.15,4,0,0,0,1,0,0,0,0,0
23,42000,2.0,B,6500,10.37,0.15,3,0,0,0,1,0,0,0,0,0
38,9732,9.0,A,2200,9.63,0.23,17,0,0,0,1,0,0,0,0,0
41,95000,5.0,B,25000,10.99,0.26,12,1,0,0,0,0,0,0,1,0
26,63180,4.0,C,5825,13.43,0.09,2,0,0,1,0,0,0,1,0,1
24,105000,4.0,C,4000,11.34,0.04,4,1,0,0,0,1,0,0,0,0
35,100000,14.0,A,10000,6.62,0.1,8,1,0,0,0,1,0,0,0,0
25,45000,0.0,C,6500,10.28,0.14,2,0,0,1,1,0,0,0,0,1
31,60000,4.0,A,15000,8.49,0.25,9,0,0,0,1,0,0,0,0,0
27,110000,11.0,A,3600,6.03,0.03,5,1,0,0,0,0,0,1,0,0
22,69000,6.0,B,20000,10.99,0.29,4,0,0,0,0,0,0,0,0,0
35,32900,4.0,C,4800,13.23,0.15,9,0,0,0,0,0,0,1,0,1
30,100000,14.0,A,13000,7.88,0.13,9,1,0,0,1,0,0,0,0,0
32,65000,2.0,C,11600,13.49,0.18,8,0,0,0,0,0,0,1,0,1
27,51000,1.0,A,10000,6.99,0.2,5,1,0,0,0,0,0,1,0,0
25,115000,7.0,A,18000,7.51,0.16,2,1,0,0,0,0,0,0,1,0
22,75000,7.0,B,8000,12.21,0.11,2,1,0,0,0,0,0,0,0,0
26,59000,2.0,E,18000,16.0,0.31,4,0,0,0,0,1,0,0,0,0
31,110000,4.0,B,6000,11.99,0.05,7,1,0,0,0,0,0,0,0,0
22,83000,4.0,A,3000,9.63,0.04,3,0,0,0,1,0,0,0,0,0
42,29000,1.0,D,5000,16.49,0.17,13,0,0,0,0,0,0,0,1,1
39,37000,6.0,A,5000,10.99,0.14,17,0,0,0,0,0,0,0,1,0
29,42000,0.0,E,15000,14.25,0.36,9,0,0,0,0,0,0,0,1,0
22,40800,6.0,C,10000,12.61,0.25,2,0,0,1,0,1,0,0,0,1
39,60520,6.0,D,6000,15.33,0.08,15,0,0,0,0,0,1,0,0,1
32,85000,1.0,C,7500,10.78,0.09,10,1,0,0,1,0,0,0,0,1
25,73200,7.0,A,5000,10.99,0.07,2,1,0,0,0,0,0,0,0,0
22,55000,6.0,A,9500,7.49,0.17,3,1,0,0,0,0,1,0,0,0
30,84300,4.0,B,12000,8.88,0.14,7,0,0,0,0,0,0,0,1,0
29,62000,13.0,C,9000,10.99,0.15,7,0,0,0,0,0,0,0,0,0
22,25000,6.0,B,8000,11.36,0.32,2,0,0,0,1,0,0,0,0,0
29,85000,3.0,A,14000,5.42,0.16,5,0,0,0,0,0,0,0,0,0
31,55000,0.0,A,4500,7.14,0.08,6,1,0,0,0,1,0,0,0,0
27,38300,2.0,B,6000,10.99,0.16,10,1,0,0,0,0,0,0,1,0
21,26400,2.0,A,4000,7.51,0.15,4,0,0,1,0,1,0,0,0,0
26,90000,5.0,B,3000,10.99,0.03,4,0,0,0,0,0,1,0,0,0
31,39000,11.0,A,2200,7.49,0.06,6,1,0,0,0,0,0,0,0,0
26,52000,5.0,B,5000,10.59,0.1,3,0,0,0,0,0,0,0,1,0
28,48096,4.0,E,1200,17.56,0.02,5,0,0,0,0,0,0,0,0,1
25,66000,1.0,B,5050,11.49,0.08,2,0,0,0,0,0,0,1,0,0
26,34515,11.0,A,5400,7.68,0.16,4,1,0,0,0,0,0,0,0,0
22,38004,0.0,B,4100,11.49,0.11,4,0,0,0,0,0,1,0,0,0
23,55000,4.0,B,4000,12.53,0.07,2,0,0,0,0,0,1,0,0,0
21,39900,3.0,B,6000,11.49,0.15,3,0,0,0,0,0,0,0,0,0
30,70000,0.0,C,3000,13.98,0.04,9,0,0,0,0,0,1,0,0,0
30,110000,15.0,C,12000,13.61,0.11,10,1,0,0,0,0,0,0,1,0
27,200000,7.0,B,15000,9.88,0.07,9,1,0,0,0,0,0,0,1,0
22,37000,6.0,A,6800,7.14,0.18,2,0,0,0,0,0,0,0,1,0
27,60000,9.0,A,3600,5.42,0.06,9,1,0,0,0,0,0,0,0,0
25,39900,8.0,B,12000,9.88,0.3,4,0,0,0,1,0,0,0,0,0
25,50000,2.0,B,10800,10.75,0.22,3,0,0,0,0,1,0,0,0,0
42,37000,0.0,C,15200,14.26,0.41,16,0,0,0,1,0,0,0,0,1
25,49000,3.0,A,1000,7.66,0.02,3,0,0,0,1,0,0,0,0,0
30,130000,14.0,B,7000,9.91,0.05,9,1,0,0,0,1,0,0,0,0
25,24000,3.0,C,6250,13.72,0.26,3,0,0,0,0,0,0,0,0,1
32,70000,16.0,A,9000,7.14,0.13,10,1,0,0,0,0,0,1,0,0
25,170850,9.0,F,6500,15.01,0.03,2,1,0,0,0,0,1,0,0,0
28,44004,5.0,C,6000,13.06,0.14,10,1,0,0,0,0,1,0,0,1
26,46000,3.0,D,11000,16.29,0.24,3,0,0,0,0,0,1,0,0,1
30,138000,3.0,E,23975,17.93,0.17,7,1,0,0,1,0,0,0,0,0
23,42000,2.0,C,6000,12.41,0.14,4,0,0,0,0,0,0,0,1,0
22,40000,2.0,B,8000,12.18,0.2,4,0,0,0,1,0,0,0,0,0
30,28000,5.0,B,6300,11.99,0.23,8,0,0,1,0,0,0,1,0,0
33,110000,3.0,D,15000,14.42,0.14,9,0,0,0,1,0,0,0,0,1
30,93000,11.0,C,18000,15.23,0.19,9,1,0,0,0,0,0,1,0,0
31,80000,3.0,A,10000,7.66,0.13,7,0,0,0,0,1,0,0,0,0
29,55000,5.0,A,12000,7.49,0.22,8,1,0,0,0,0,0,0,0,0
31,50000,1.0,B,10000,12.69,0.2,8,0,0,0,0,0,1,0,0,0
28,57000,13.0,C,9600,15.96,0.17,9,1,0,0,0,0,0,0,1,1
26,45000,2.0,B,12000,10.99,0.27,3,1,0,0,0,1,0,0,0,0
32,37500,6.0,A,5000,6.03,0.13,9,0,0,0,0,0,1,0,0,0
27,60000,8.0,A,2000,7.29,0.03,7,1,0,0,1,0,0,0,0,0
39,35000,8.0,C,8000,13.22,0.23,14,0,0,0,1,0,0,0,0,1
26,63000,10.0,A,3500,7.68,0.06,4,1,0,0,0,0,0,1,0,0
32,108000,5.0,B,12000,11.49,0.11,10,1,0,0,0,1,0,0,0,0
24,25000,3.0,A,9450,6.62,0.38,4,0,0,0,0,0,1,0,0,0
43,36000,5.0,B,5000,9.91,0.14,17,1,0,0,0,1,0,0,0,0
23,34800,7.0,A,2500,6.39,0.07,2,0,0,0,1,0,0,0,0,0
31,42000,3.0,A,9000,6.99,0.21,8,1,0,0,0,0,1,0,0,0
38,140000,0.0,B,25000,9.99,0.18,12,1,0,0,0,0,0,1,0,0
22,55000,6.0,C,13000,13.85,0.24,3,1,0,0,0,0,0,0,1,0
22,18204,2.0,B,2500,11.89,0.14,4,0,0,0,0,0,0,0,0,0
33,98000,2.0,A,20000,6.91,0.2,7,0,0,0,0,0,0,1,0,0
